ID,Bezeichner,Gehäuse,Stückzahl,Bezeichnung,Anbieter und Referenz
1,J2,PinHeader_1x03_P2.54mm_Vertical,1,LED Strip,
2,C1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,0.1uF,
3,U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-AU,
4,SW2,SW_PUSH_6mm,1,Switch ON,
5,SW1,SW_PUSH_6mm,1,Switch Mode,
6,R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,10 or 5R1,
7,R5,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1k,
8,"R6,R4,R3",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,10k,
9,R1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,470,
10,"Q3,Q1",TO-252-2,2,IRLR024N,
11,Q2,SOT-23,1,BC857,
12,J1,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,
